epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,1494.52,1.65779,1.32436,2.23264,0.70795,1,0.91058,0.49023,1.47986,1.28131,2.16785,0.0014126,0.0014126,0.0014126
91,1511.58,1.5352,1.35765,2.19242,1,0.86632,0.97192,0.51674,1.47163,1.28235,2.13221,0.001406,0.001406,0.001406
92,1527.92,1.45775,1.21582,2.07178,0.88737,1,0.96773,0.53157,1.37177,1.15607,2.04625,0.0013994,0.0013994,0.0013994
93,1545.13,1.30877,1.253,1.98592,0.87338,1,0.97682,0.61713,1.32901,1.21093,2.00087,0.0013928,0.0013928,0.0013928
94,1561.91,1.53448,1.23915,2.14291,0.68235,0.9,0.87,0.56812,1.30824,1.91207,2.08894,0.0013862,0.0013862,0.0013862
95,1578.73,1.44467,1.24925,1.97249,0.67148,0.7,0.78595,0.48804,1.37347,2.77953,2.24249,0.0013796,0.0013796,0.0013796
96,1596.15,1.47444,1.1803,2.09832,0.67148,0.7,0.78595,0.48804,1.37347,2.77953,2.24249,0.001373,0.001373,0.001373
97,1614.42,1.43871,1.22878,2.03567,0.65778,0.96269,0.79908,0.51616,1.32299,2.41423,2.1816,0.0013664,0.0013664,0.0013664
98,1631.02,1.4334,1.17644,2.07109,0.76026,1,0.92041,0.53786,1.39856,1.6269,2.14376,0.0013598,0.0013598,0.0013598
99,1647.15,1.49735,1.19969,2.03489,0.87164,0.8,0.93032,0.50123,1.5611,1.24807,2.12187,0.0013532,0.0013532,0.0013532
100,1664.33,1.624,1.30643,2.13699,0.81633,0.88981,0.92602,0.5396,1.49201,1.26376,1.9975,0.0013466,0.0013466,0.0013466
101,1681.85,1.4081,1.17921,1.95624,0.82473,1,0.92833,0.57557,1.27253,1.14045,1.85792,0.00134,0.00134,0.00134
102,1698.19,1.42454,1.16364,2.02877,0.99548,1,0.995,0.65558,1.15163,1.0554,1.77443,0.0013334,0.0013334,0.0013334
103,1714.62,1.33007,1.16683,1.97718,0.83896,0.8,0.92453,0.62589,1.17053,1.19464,1.8125,0.0013268,0.0013268,0.0013268
104,1731.02,1.43948,1.19295,2.02535,0.83896,0.8,0.92453,0.62589,1.17053,1.19464,1.8125,0.0013202,0.0013202,0.0013202
105,1747.93,1.49506,1.18362,2.03251,0.97159,1,0.995,0.68658,1.11896,0.97561,1.7381,0.0013136,0.0013136,0.0013136
106,1764.76,1.38785,1.16272,2.01156,0.90824,0.99069,0.97682,0.62471,1.15884,1.20801,1.82771,0.001307,0.001307,0.001307
107,1781.58,1.31747,1.14883,1.89201,0.75246,1,0.89456,0.55306,1.25858,1.37014,1.87454,0.0013004,0.0013004,0.0013004
108,1797.9,1.2687,1.12093,1.89265,0.75813,1,0.88885,0.55962,1.23826,1.33566,1.87366,0.0012938,0.0012938,0.0012938
109,1814.26,1.35183,1.11779,1.93772,0.9041,1,0.98591,0.63743,1.24014,1.06356,1.9216,0.0012872,0.0012872,0.0012872
110,1830.75,1.46245,1.23093,2.01062,0.90832,0.99154,0.97682,0.61261,1.21256,0.98661,1.90848,0.0012806,0.0012806,0.0012806
111,1847.07,1.31379,1.17066,1.93697,0.90858,0.99437,0.97682,0.63662,1.25185,0.93807,1.85484,0.001274,0.001274,0.001274
112,1863.4,1.33867,1.15945,1.8882,0.90858,0.99437,0.97682,0.63662,1.25185,0.93807,1.85484,0.0012674,0.0012674,0.0012674
113,1880.3,1.42173,1.21045,1.9407,0.88375,1,0.97682,0.60804,1.29036,0.993,1.87148,0.0012608,0.0012608,0.0012608
114,1896.62,1.42927,1.25007,1.98683,0.8224,1,0.96833,0.65911,1.12274,0.92146,1.75793,0.0012542,0.0012542,0.0012542
115,1912.67,1.30647,1.10471,1.85504,0.89007,1,0.96773,0.62488,1.17245,0.94087,1.80059,0.0012476,0.0012476,0.0012476
116,1928.85,1.31158,1.10398,1.95386,0.89755,1,0.96773,0.61217,1.20433,0.97014,1.86636,0.001241,0.001241,0.001241
117,1945.22,1.36133,1.14739,1.9668,0.89684,1,0.96773,0.62879,1.18834,0.90129,1.83546,0.0012344,0.0012344,0.0012344
118,1961.17,1.30462,1.11065,1.90152,0.90019,1,0.96773,0.61372,1.23269,1.01955,1.90029,0.0012278,0.0012278,0.0012278
119,1977.44,1.34285,1.10645,1.87719,0.90314,1,0.98591,0.61491,1.22172,1.0234,1.92201,0.0012212,0.0012212,0.0012212
120,1993.33,1.38063,1.15132,1.93166,0.90314,1,0.98591,0.61491,1.22172,1.0234,1.92201,0.0012146,0.0012146,0.0012146
121,2009.71,1.37836,1.1265,1.91504,0.90755,0.98309,0.95864,0.60834,1.25299,1.09623,1.99599,0.001208,0.001208,0.001208
122,2025.85,1.38695,1.214,2.02495,0.76493,1,0.93192,0.61125,1.20684,1.19319,1.95031,0.0012014,0.0012014,0.0012014
123,2041.99,1.29267,1.16532,1.88271,0.83073,1,0.895,0.58465,1.15559,1.18542,1.89008,0.0011948,0.0011948,0.0011948
124,2058.74,1.24375,1.10408,1.84163,0.90466,1,0.94955,0.62374,1.22991,1.06222,1.87903,0.0011882,0.0011882,0.0011882
125,2075.14,1.2709,1.13333,1.88663,0.90094,1,0.97682,0.63148,1.17561,0.96124,1.82645,0.0011816,0.0011816,0.0011816
126,2091.25,1.34156,1.15135,1.89514,0.90703,0.97736,0.97682,0.62624,1.16876,1.07044,1.88374,0.001175,0.001175,0.001175
127,2107.63,1.23623,1.1331,1.80926,0.90775,0.98523,0.96773,0.5675,1.15372,1.19313,1.84725,0.0011684,0.0011684,0.0011684
128,2124.45,1.3438,1.13157,1.99433,0.90775,0.98523,0.96773,0.5675,1.15372,1.19313,1.84725,0.0011618,0.0011618,0.0011618
129,2140.63,1.30198,1.07117,1.85009,0.89393,1,0.95864,0.5938,1.08047,1.17725,1.74061,0.0011552,0.0011552,0.0011552
130,2156.76,1.33021,1.0655,1.87139,0.88353,1,0.94955,0.62412,1.13277,1.22064,1.71784,0.0011486,0.0011486,0.0011486
131,2173.24,1.23352,1.07139,1.7695,0.88539,1,0.94955,0.59616,1.21839,1.18119,1.82961,0.001142,0.001142,0.001142
132,2189.41,1.15968,1.05048,1.70191,0.82676,1,0.94045,0.57888,1.23478,1.2587,1.92322,0.0011354,0.0011354,0.0011354
133,2205.9,1.31761,1.15059,1.90319,0.8735,1,0.92227,0.58092,1.23419,1.23731,1.98668,0.0011288,0.0011288,0.0011288
134,2222.33,1.3673,1.17077,1.96297,0.82415,1,0.90833,0.58002,1.25672,1.30688,1.97885,0.0011222,0.0011222,0.0011222
135,2239.44,1.36477,1.10664,1.88147,0.76187,1,0.88101,0.56653,1.18846,1.27002,1.89705,0.0011156,0.0011156,0.0011156
136,2255.65,1.35389,1.16328,1.88106,0.76187,1,0.88101,0.56653,1.18846,1.27002,1.89705,0.001109,0.001109,0.001109
137,2271.91,1.29261,0.9874,1.78052,0.7582,1,0.88027,0.59769,1.12874,1.26453,1.81884,0.0011024,0.0011024,0.0011024
138,2288.14,1.24142,1.06953,1.87546,0.7532,1,0.87452,0.61371,1.11593,1.3574,1.85342,0.0010958,0.0010958,0.0010958
139,2304.63,1.19435,0.97587,1.73273,0.80852,1,0.95833,0.67875,1.04872,1.03949,1.75624,0.0010892,0.0010892,0.0010892
140,2321.14,1.35054,1.118,1.95221,0.9071,1,0.98591,0.70087,1.05868,0.85976,1.70981,0.0010826,0.0010826,0.0010826
141,2337.39,1.201,1.10974,1.81883,0.9685,1,0.995,0.65973,1.1033,0.83012,1.72121,0.001076,0.001076,0.001076
142,2353.5,1.27299,1.00493,1.79063,0.98531,1,0.995,0.6721,1.10084,0.89426,1.77578,0.0010694,0.0010694,0.0010694
143,2369.8,1.19008,1.00212,1.71238,0.9027,1,0.98591,0.66558,1.04556,0.80717,1.72837,0.0010628,0.0010628,0.0010628
144,2386.18,1.15861,1.07137,1.76033,0.9027,1,0.98591,0.66558,1.04556,0.80717,1.72837,0.0010562,0.0010562,0.0010562
145,2402.56,1.25828,1.1328,1.81304,0.82806,1,0.945,0.64423,1.11044,1.1778,1.83474,0.0010496,0.0010496,0.0010496
146,2418.57,1.09951,0.96941,1.79009,0.82666,1,0.9325,0.61563,1.15035,1.50802,1.91374,0.001043,0.001043,0.001043
147,2434.74,1.05618,0.95248,1.7056,0.82582,1,0.945,0.65399,1.12535,1.18955,1.8068,0.0010364,0.0010364,0.0010364
148,2450.77,1.09256,0.97394,1.69711,0.9062,1,0.995,0.68404,1.01388,0.85433,1.66181,0.0010298,0.0010298,0.0010298
149,2466.95,1.12573,0.93526,1.70744,0.9932,1,0.995,0.71179,1.05582,0.86544,1.6621,0.0010232,0.0010232,0.0010232
150,2483.35,1.11779,0.92456,1.63904,1,0.98827,0.995,0.67153,1.09997,0.9625,1.70878,0.0010166,0.0010166,0.0010166
151,2499.45,1.14506,0.91715,1.71344,0.94345,1,0.995,0.68724,0.9977,0.87532,1.59714,0.00101,0.00101,0.00101
152,2517.31,1.16457,0.95447,1.71119,0.94345,1,0.995,0.68724,0.9977,0.87532,1.59714,0.0010034,0.0010034,0.0010034
153,2534.89,1.14131,0.96149,1.71577,0.90409,1,0.995,0.6799,0.9773,0.87514,1.55351,0.0009968,0.0009968,0.0009968
154,2552.93,1.3165,1.03381,1.85921,0.90221,1,0.97682,0.70142,0.992,0.9334,1.58172,0.0009902,0.0009902,0.0009902
155,2569.94,1.12708,0.91927,1.68125,0.90868,0.99547,0.97682,0.70165,1.03939,0.9229,1.64245,0.0009836,0.0009836,0.0009836
156,2587.17,1.13937,0.93145,1.64856,0.90343,1,0.98591,0.68261,1.11148,0.80988,1.71737,0.000977,0.000977,0.000977
157,2603.44,1.25792,1.01517,1.81768,0.89644,1,0.98591,0.67577,1.15681,0.7889,1.79872,0.0009704,0.0009704,0.0009704
158,2619.97,1.22345,0.9502,1.79489,0.89585,1,0.98591,0.68252,1.14268,0.84357,1.81331,0.0009638,0.0009638,0.0009638
159,2635.88,1.12405,0.91577,1.67135,0.82641,1,0.94833,0.62758,1.24497,0.92074,1.83737,0.0009572,0.0009572,0.0009572
160,2651.83,1.18184,0.89473,1.67545,0.82641,1,0.94833,0.62758,1.24497,0.92074,1.83737,0.0009506,0.0009506,0.0009506
161,2667.46,1.21719,0.91221,1.82093,0.82786,1,0.94833,0.62631,1.29778,0.92464,1.85055,0.000944,0.000944,0.000944
162,2683.6,1.11805,0.9515,1.70443,0.96511,0.9,0.97833,0.69696,1.21014,0.81478,1.78169,0.0009374,0.0009374,0.0009374
163,2699.71,1.22085,0.97341,1.77404,1,0.88052,0.97833,0.70675,1.06083,0.79979,1.67001,0.0009308,0.0009308,0.0009308
164,2715.77,1.19549,1.04016,1.79047,0.89365,1,0.97682,0.67663,1.06621,0.84184,1.68621,0.0009242,0.0009242,0.0009242
165,2731.8,1.219,0.93505,1.74524,0.89724,1,0.98591,0.6559,1.11698,0.79162,1.70062,0.0009176,0.0009176,0.0009176
166,2747.35,1.11661,0.93937,1.66,0.99316,1,0.995,0.67362,1.14041,0.79205,1.68595,0.000911,0.000911,0.000911
167,2762.65,1.12052,0.92752,1.64067,0.89602,1,0.98591,0.69344,1.09232,0.91614,1.65783,0.0009044,0.0009044,0.0009044
168,2778.3,1.14059,0.91458,1.70394,0.89602,1,0.98591,0.69344,1.09232,0.91614,1.65783,0.0008978,0.0008978,0.0008978
